Instances,Year,Country,Yearly Average Temperature,Yearly Average Temperature Uncertainty
0,1960,Afghanistan,13.985416666666666,0.4418333333333333
1,1960,Albania,13.335083333333332,0.31875
2,1960,Algeria,23.504083333333337,0.4520833333333333
3,1960,Angola,21.92708333333333,0.3024166666666666
4,1960,Argentina,14.993666666666668,0.24025
5,1960,Armenia,9.27325,0.4694166666666666
6,1960,Australia,21.2105,0.222
7,1960,Azerbaijan,11.738,0.418
8,1960,Bahrain,26.266500000000004,0.4495833333333333
9,1960,Bangladesh,25.484250000000003,0.2723333333333333
10,1960,Barbados,26.926416666666668,0.3049166666666666
11,1960,Belarus,6.464583333333334,0.273
12,1960,Benin,27.204,0.29375
13,1960,Bhutan,12.42525,0.353
14,1960,Bolivia,20.5945,0.3916666666666666
15,1960,Botswana,22.15133333333333,0.3666666666666667
16,1960,Brazil,24.75266666666667,0.3506666666666667
17,1960,Bulgaria,11.248083333333334,0.3239166666666667
18,1960,Burkina Faso,28.132083333333338,0.2569166666666667
19,1960,Burundi,20.024833333333333,0.427
20,1960,Cambodia,27.172416666666667,0.268
21,1960,Cameroon,24.50775,0.23775
22,1960,Canada,-4.406833333333334,0.25775
23,1960,Central African Republic,25.402500000000003,0.313
24,1960,Chad,27.5235,0.4305833333333333
25,1960,Chile,9.754166666666666,0.3730833333333334
26,1960,China,6.890916666666667,0.2309166666666666
27,1960,Colombia,24.94683333333333,0.2995833333333333
28,1960,Costa Rica,25.896416666666667,0.366
29,1960,Croatia,11.842999999999998,0.349
30,1960,Cuba,25.53383333333333,0.2921666666666667
31,1960,Cyprus,19.93583333333333,0.3255833333333333
32,1960,Djibouti,28.701166666666666,0.8756666666666667
33,1960,Dominican Republic,26.08375,0.3580833333333333
34,1960,Ecuador,21.8235,0.3346666666666666
35,1960,Egypt,23.621166666666667,0.3349166666666667
36,1960,El Salvador,25.03616666666667,0.3985
37,1960,Eritrea,27.010583333333333,0.71375
38,1960,Estonia,4.910833333333334,0.2965
39,1960,Ethiopia,22.94241666666667,0.4615
40,1960,Fiji,25.169916666666666,0.33675
41,1960,Gabon,24.530833333333334,0.2265833333333333
42,1960,Georgia,8.76125,0.4076666666666667
43,1960,Ghana,26.825416666666666,0.2600833333333333
44,1960,Guatemala,23.355833333333333,0.3371666666666666
45,1960,Guinea,25.634666666666664,0.2564166666666667
46,1960,Guyana,26.15833333333333,0.4835833333333333
47,1960,Haiti,26.781583333333334,0.3115833333333333
48,1960,Honduras,24.902,0.34625
49,1960,Hong Kong,23.20341666666667,0.2965
50,1960,Hungary,10.240916666666667,0.3241666666666666
51,1960,Iceland,2.571333333333333,0.4435833333333334
52,1960,India,24.287166666666668,0.2568333333333333
53,1960,Indonesia,26.02916666666667,0.2345833333333333
54,1960,Iran,17.89375,0.385
55,1960,Iraq,22.727500000000003,0.3495
56,1960,Israel,20.723166666666668,0.32275
57,1960,Jamaica,26.463916666666663,0.4285833333333333
58,1960,Japan,12.599833333333336,0.2165833333333333
59,1960,Jordan,20.47058333333333,0.3468333333333333
60,1960,Kazakhstan,4.318833333333334,0.3250833333333333
61,1960,Kenya,24.09575,0.2669166666666666
62,1960,Kuwait,25.69675,0.4690833333333333
63,1960,Kyrgyzstan,3.011249999999999,0.62975
64,1960,Laos,24.113416666666662,0.3356666666666666
65,1960,Latvia,5.492583333333333,0.2955833333333333
66,1960,Lebanon,18.837333333333333,0.2971666666666666
67,1960,Lesotho,13.899500000000002,0.3189166666666667
68,1960,Liberia,25.6165,0.3427499999999999
69,1960,Libya,23.134666666666664,0.50225
70,1960,Lithuania,6.191416666666666,0.32825
71,1960,Madagascar,22.68933333333333,0.3255833333333333
72,1960,Malawi,21.422,0.33675
73,1960,Malaysia,26.262416666666667,0.2504166666666667
74,1960,Mali,28.47375,0.2980833333333333
75,1960,Malta,19.0835,0.4003333333333334
76,1960,Mauritania,27.6765,0.3735
77,1960,Mauritius,23.45283333333333,0.33825
78,1960,Mexico,20.746583333333334,0.2299166666666666
79,1960,Moldova,9.941083333333331,0.3084166666666667
80,1960,Mongolia,-0.7965833333333334,0.3483333333333333
81,1960,Morocco,17.85625,0.3965833333333333
82,1960,Mozambique,23.54325,0.2813333333333333
83,1960,Namibia,20.735666666666667,0.5934166666666667
84,1960,Nepal,15.314583333333331,0.4056666666666667
85,1960,New Zealand,10.554666666666668,0.3076666666666666
86,1960,Nicaragua,26.227083333333336,0.3688333333333333
87,1960,Niger,27.611500000000003,0.3864166666666667
88,1960,Nigeria,26.81741666666667,0.27
89,1960,Norway,0.5800000000000002,0.3265
90,1960,Oman,26.942833333333336,0.7000000000000001
91,1960,Pakistan,20.731333333333332,0.3246666666666666
92,1960,Panama,26.494666666666664,0.29775
93,1960,Papua New Guinea,24.46083333333333,0.2759999999999999
94,1960,Paraguay,23.07283333333333,0.31525
95,1960,Peru,19.96925,0.299
96,1960,Philippines,26.8445,0.2554166666666667
97,1960,Poland,7.877166666666667,0.3413333333333333
98,1960,Qatar,27.045916666666667,0.5289166666666667
99,1960,Romania,9.60325,0.30075
100,1960,Russia,-5.936,0.2695
101,1960,Rwanda,19.243333333333336,0.3913333333333333
102,1960,Saudi Arabia,26.07408333333333,0.5873333333333334
103,1960,Senegal,28.014166666666668,0.2743333333333333
104,1960,Serbia,10.634833333333336,0.385
105,1960,Sierra Leone,26.269500000000004,0.3138333333333333
106,1960,Singapore,26.92941666666667,0.2580833333333333
107,1960,Slovakia,8.039916666666667,0.3368333333333333
108,1960,Slovenia,10.045583333333337,0.4115
109,1960,Somalia,26.79625,0.51675
110,1960,South Africa,17.571583333333333,0.2374166666666667
111,1960,Sri Lanka,27.0385,0.2816666666666667
112,1960,Sudan,27.481583333333333,0.3293333333333333
113,1960,Suriname,26.402583333333336,0.44525
114,1960,Switzerland,7.213249999999999,0.2979166666666666
115,1960,Syria,19.075083333333332,0.298
116,1960,Taiwan,22.497666666666664,0.2173333333333333
117,1960,Tajikistan,3.9755,0.6053333333333334
118,1960,Tanzania,22.317666666666668,0.3525833333333333
119,1960,Thailand,26.591083333333334,0.2503333333333333
120,1960,Togo,26.9455,0.2674166666666667
121,1960,Tunisia,20.640916666666666,0.5554166666666667
122,1960,Turkey,12.580916666666669,0.2855833333333333
123,1960,Turkmenistan,14.835666666666668,0.3704166666666666
124,1960,Uganda,23.04733333333333,0.2849166666666666
125,1960,Ukraine,8.558,0.2328333333333333
126,1960,United Arab Emirates,27.785666666666668,0.68825
127,1960,United Kingdom,8.91975,0.268
128,1960,United States,8.69225,0.18025
129,1960,Uruguay,17.549083333333332,0.2938333333333333
130,1960,Uzbekistan,12.057,0.3730833333333334
131,1960,Venezuela,25.40116666666667,0.3323333333333333
132,1960,Vietnam,24.14408333333333,0.2629166666666666
133,1960,Yemen,26.31908333333333,0.67075
134,1960,Zambia,21.40008333333333,0.349
135,1960,Zimbabwe,21.17858333333333,0.2566666666666666
136,1961,Afghanistan,14.064916666666669,0.3980833333333333
137,1961,Albania,13.31675,0.3433333333333333
138,1961,Algeria,23.39033333333333,0.3885833333333333
