,latitude,longitude,country
1,23.424076,53.847818,United Arab Emirates
2,33.93911,67.709953,Afghanistan
5,41.153332,20.168331,Albania
6,40.069099,45.038189,Armenia
8,-11.202692,17.873887,Angola
10,-38.416097,-63.616672,Argentina
13,-25.274398,133.775136,Australia
15,40.143105,47.576927,Azerbaijan
17,13.193887,-59.543198,Barbados
18,23.684994,90.356331,Bangladesh
20,12.238333,-1.561593,Burkina Faso
21,42.733883,25.48583,Bulgaria
22,25.930414,50.637772,Bahrain
23,-3.373056,29.918886,Burundi
24,9.30769,2.315834,Benin
27,-16.290154,-63.588653,Bolivia
28,-14.235004,-51.92528,Brazil
30,27.514162,90.433601,Bhutan
32,-22.328474,24.684866,Botswana
33,53.709807,27.953389,Belarus
35,56.130366,-106.346771,Canada
38,6.611111,20.939444,Central African Republic
40,46.818188,8.227512,Switzerland
43,-35.675147,-71.542969,Chile
44,7.369722,12.354722,Cameroon
45,35.86166,104.195397,China
46,4.570868,-74.297333,Colombia
47,9.748917,-83.753428,Costa Rica
48,21.521757,-77.781167,Cuba
51,35.126413,33.429859,Cyprus
54,11.825138,42.590275,Djibouti
57,18.735693,-70.162651,Dominican Republic
58,28.033886,1.659626,Algeria
59,-1.831239,-78.183406,Ecuador
60,58.595272,25.013607,Estonia
61,26.820553,30.802498,Egypt
63,15.179384,39.782334,Eritrea
65,9.145,40.489673,Ethiopia
67,-16.578193,179.414413,Fiji
72,-0.803689,11.609444,Gabon
73,55.378051,-3.435973,United Kingdom
75,42.315407,43.356892,Georgia
78,7.946527,-1.023194,Ghana
82,9.945587,-9.696645,Guinea
87,15.783471,-90.230759,Guatemala
90,4.860416,-58.93018,Guyana
92,22.396428,114.109497,Hong Kong
94,15.199999,-86.241905,Honduras
95,45.1,15.2,Croatia
96,18.971187,-72.285215,Haiti
97,47.162494,19.503304,Hungary
98,-0.789275,113.921327,Indonesia
100,31.046051,34.851612,Israel
102,20.593684,78.96288,India
104,33.223191,43.679291,Iraq
105,32.427908,53.688046,Iran
106,64.963051,-19.020835,Iceland
109,18.109581,-77.297508,Jamaica
110,30.585164,36.238414,Jordan
111,36.204824,138.252924,Japan
112,-0.023559,37.906193,Kenya
113,41.20438,74.766098,Kyrgyzstan
114,12.565679,104.990963,Cambodia
120,29.31166,47.481766,Kuwait
122,48.019573,66.923684,Kazakhstan
123,19.85627,102.495496,Laos
124,33.854721,35.862285,Lebanon
127,7.873054,80.771797,Sri Lanka
128,6.428055,-9.429499,Liberia
129,-29.609988,28.233608,Lesotho
130,55.169438,23.881275,Lithuania
132,56.879635,24.603189,Latvia
133,26.3351,17.228331,Libya
134,31.791702,-7.09262,Morocco
136,47.411631,28.369885,Moldova
138,-18.766947,46.869107,Madagascar
141,17.570692,-3.996166,Mali
143,46.862496,103.846656,Mongolia
147,21.00789,-10.940835,Mauritania
149,35.937496,14.375416,Malta
150,-20.348404,57.552152,Mauritius
152,-13.254308,34.301525,Malawi
153,23.634501,-102.552784,Mexico
154,4.210484,101.975766,Malaysia
155,-18.665695,35.529562,Mozambique
156,-22.95764,18.49041,Namibia
158,17.607789,8.081666,Niger
160,9.081999,8.675277,Nigeria
161,12.865416,-85.207229,Nicaragua
163,60.472024,8.468946,Norway
164,28.394857,84.124008,Nepal
167,-40.900557,174.885971,New Zealand
168,21.512583,55.923255,Oman
169,8.537981,-80.782127,Panama
170,-9.189967,-75.015152,Peru
172,-6.314993,143.95555,Papua New Guinea
173,12.879721,121.774017,Philippines
174,30.375321,69.345116,Pakistan
175,51.919438,19.145136,Poland
182,-23.442503,-58.443832,Paraguay
183,25.354826,51.183884,Qatar
185,45.943161,24.96676,Romania
186,44.016521,21.005859,Serbia
187,61.52401,105.318756,Russia
188,-1.940278,29.873888,Rwanda
189,23.885942,45.079162,Saudi Arabia
192,12.862807,30.217636,Sudan
194,1.352083,103.819836,Singapore
196,46.151241,14.995463,Slovenia
198,48.669026,19.699024,Slovakia
199,8.460555,-11.779889,Sierra Leone
201,14.497401,-14.452362,Senegal
202,5.152149,46.199616,Somalia
203,3.919305,-56.027783,Suriname
205,13.794185,-88.89653,El Salvador
206,34.802075,38.996815,Syria
209,15.454166,18.732207,Chad
211,8.619543,0.824782,Togo
212,15.870032,100.992541,Thailand
213,38.861034,71.276093,Tajikistan
216,38.969719,59.556278,Turkmenistan
217,33.886917,9.537499,Tunisia
219,38.963745,35.243322,Turkey
222,23.69781,120.960515,Taiwan
223,-6.369028,34.888822,Tanzania
224,48.379433,31.16558,Ukraine
225,1.373333,32.290275,Uganda
227,37.09024,-95.712891,United States
228,-32.522779,-55.765835,Uruguay
229,41.377491,64.585262,Uzbekistan
232,6.42375,-66.58973,Venezuela
235,14.058324,108.277199,Vietnam
240,15.552727,48.516388,Yemen
242,-30.559482,22.937506,South Africa
243,-13.133897,27.849332,Zambia
244,-19.015438,29.154857,Zimbabwe
